#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:35:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:35:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:36:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:37:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:38:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:39:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:40:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:41:50Z,0,usage_guest,cpu,cpu-total,MyLord
